Season,Name,Count,,,,Season,Total,,,,,,,,
2011,Andy Rutter,16,,,,2011,120,,,,,,,,
2011,Carla Bennett,2,,,,2012,129,,,,,,,,
2011,David Wright,5,,,,2013,136,,,,,,,,
2011,Nick Collier,6,,,,2014,149,,,,,,,,
2011,Jack McNamara,3,,,,2015,4,,,,,,,,
2011,Liv Harcourt,1,,,,,,,,,,,,,
2011,Nick Armitage,4,,,,,,,,,,,,,
2011,Chris West,21,,,,,,,,,,,,,
2011,Paul Bullough,5,,,,,,,,,,,,,
2011,Rhian Benstead,7,,,,,,,,,,,,,
2011,Jayne Muir,2,,,,,,,,,,,,,
2011,Howard Laffling,2,,,,,,Sum of Count,Column Labels,,,,,,
2011,Adrian Dobbyne,7,,,,,,Row Labels,2011,2012,2013,2014,2015,(blank),Grand Total
2011,Gary Cole,8,,,,,,Aaron Du,,1,,,,,1
2011,Laura Neaves,2,,,,,,Adam Twiss,12,12,6,10,,,40
2011,Lindsey Neaves,2,,,,,,Adrian Dobbyne,7,12,12,6,1,,38
2011,Alex Andrews,3,,,,,,Alex Andrews,3,2,3,4,,,12
2011,Martin Brown,11,,,,,,Andy Rutter,16,12,23,21,1,,73
2011,Chris Brown,1,,,,,,Carla Bennett,2,2,,,,,4
2011,Adam Twiss,12,,,,,,Chris Brown,1,1,,2,,,4
2012,Andy Rutter,12,,,,,,Chris West,21,20,12,17,1,,71
2012,Carla Bennett,2,,,,,,David Wright,5,4,5,,,,14
2012,David Wright,4,,,,,,Gary Cole,8,2,4,5,,,19
2012,Nick Collier,6,,,,,,Hannah Ward,,,,4,,,4
2012,Jack McNamara,3,,,,,,Howard Laffling,2,6,1,,,,9
2012,Liv Harcourt,7,,,,,,Jack McNamara,3,3,2,,,,8
2012,Nick Armitage,3,,,,,,Jayne Muir,2,,5,,,,7
2012,Mat Hope,2,,,,,,Laura Neaves,2,5,5,13,1,,26
2012,Chris West,20,,,,,,Lindsey Neaves,2,3,4,4,,,13
2012,Paul Bullough,7,,,,,,Liv Harcourt,1,7,4,3,,,15
2012,Rhian Benstead,4,,,,,,Lucy Northfield,,,1,,,,1
2012,Howard Laffling,6,,,,,,Lucy Purser,,4,6,3,,,13
2012,Adrian Dobbyne,12,,,,,,Martin Brown,11,11,16,12,,,50
2012,Lucy Purser,4,,,,,,Mat Hope,,2,,,,,2
2012,Gary Cole,2,,,,,,Nick Armitage,4,3,1,,,,8
2012,Aaron Du,1,,,,,,Nick Collier,6,6,,,,,12
2012,Laura Neaves,5,,,,,,Paul Bullough,5,7,4,2,,,18
2012,Lindsey Neaves,3,,,,,,Rhian Benstead,7,4,10,3,,,24
2012,Alex Andrews,2,,,,,,Simon Hall,,,1,8,,,9
2012,Martin Brown,11,,,,,,Steve Grant,,,,1,,,1
2012,Chris Brown,1,,,,,,Stuart Hatfield,,,3,16,,,19
2012,Adam Twiss,12,,,,,,Toby Parsons,,,,1,,,1
2013,Andy Rutter,23,,,,,,Tom Brennand,,,,1,,,1
2013,David Wright,5,,,,,,Tom Kim,,,8,13,,,21
2013,Jack McNamara,2,,,,,,(blank),,,,,,,
2013,Stuart Hatfield,3,,,,,,Grand Total,120,129,136,149,4,,538
2013,Liv Harcourt,4,,,,,,,,,,,,,
2013,Nick Armitage,1,,,,,,,,,,,,,
2013,Chris West,12,,,,,,,,,,,,,
2013,Lucy Northfield,1,,,,,,,,,,,,,
2013,Tom Kim,8,,,,,,,,,,,,,
2013,Paul Bullough,4,,,,,,,,,,,,,
2013,Rhian Benstead,10,,,,,,,,,,,,,
2013,Jayne Muir,5,,,,,,,,,,,,,
2013,Howard Laffling,1,,,,,,,,,,,,,
2013,Adrian Dobbyne,12,,,,,,,,,,,,,
2013,Lucy Purser,6,,,,,,,,,,,,,
2013,Gary Cole,4,,,,,,,,,,,,,
2013,Simon Hall,1,,,,,,,,,,,,,
2013,Laura Neaves,5,,,,,,,,,,,,,
2013,Lindsey Neaves,4,,,,,,,,,,,,,
2013,Alex Andrews,3,,,,,,,,,,,,,
2013,Martin Brown,16,,,,,,,,,,,,,
2013,Adam Twiss,6,,,,,,,,,,,,,
2014,Andy Rutter,21,,,,,,,,,,,,,
2014,Stuart Hatfield,16,,,,,,,,,,,,,
2014,Liv Harcourt,3,,,,,,,,,,,,,
2014,Chris West,17,,,,,,,,,,,,,
2014,Tom Kim,13,,,,,,,,,,,,,
2014,Toby Parsons,1,,,,,,,,,,,,,
2014,Paul Bullough,2,,,,,,,,,,,,,
2014,Rhian Benstead,3,,,,,,,,,,,,,
2014,Adrian Dobbyne,6,,,,,,,,,,,,,
2014,Lucy Purser,3,,,,,,,,,,,,,
2014,Gary Cole,5,,,,,,,,,,,,,
2014,Simon Hall,8,,,,,,,,,,,,,
2014,Hannah Ward,4,,,,,,,,,,,,,
2014,Steve Grant,1,,,,,,,,,,,,,
2014,Laura Neaves,13,,,,,,,,,,,,,
2014,Lindsey Neaves,4,,,,,,,,,,,,,
2014,Tom Brennand,1,,,,,,,,,,,,,
2014,Alex Andrews,4,,,,,,,,,,,,,
2014,Martin Brown,12,,,,,,,,,,,,,
2014,Chris Brown,2,,,,,,,,,,,,,
2014,Adam Twiss,10,,,,,,,,,,,,,
2015,Andy Rutter,1,,,,,,,,,,,,,
2015,Chris West,1,,,,,,,,,,,,,
2015,Adrian Dobbyne,1,,,,,,,,,,,,,
2015,Laura Neaves,1,,,,,,,,,,,,,
